"","yr_db","Week-1","Week-2","Week-3","Week-4","Week-5","Week-6","Week-7","Week-8","Week-9","Week-10","Week-11","Week-12","Week-13","Week-14","Week-15","Week-16","Week-17","Week-18","Week-19","Week-20","Week-21","Week-22","Week-23","Week-24","Week-25","Week-26","Week-27","Week-28","Week-29","Week-30","Week-31","Week-32","Week-33","Week-34","Week-35","Week-36","Week-37","Week-38","Week-39","Week-40","Week-41","Week-42","Week-43","Week-44","Week-45","Week-46","Week-47","Week-48","Week-49","Week-50","Week-51","Week-52","AVIBASEID"
"1","inat19",0.0115511551155116,0.0148514851485149,0.00495049504950495,0.0214521452145215,0.0132013201320132,0.0033003300330033,0.00495049504950495,0.0132013201320132,0.0099009900990099,0.0148514851485149,0.0231023102310231,0.0181518151815182,0.0264026402640264,0.0181518151815182,0.0214521452145215,0.0280528052805281,0.0907590759075908,0.0544554455445545,0.0363036303630363,0.0264026402640264,0.0396039603960396,0.0231023102310231,0.0214521452145215,0.0412541254125413,0.0198019801980198,0.0165016501650165,0.0214521452145215,0.0214521452145215,0.00825082508250825,0.0231023102310231,0.0346534653465347,0.0165016501650165,0.0099009900990099,0.0099009900990099,0.0264026402640264,0.037953795379538,0.00825082508250825,0.0033003300330033,0.0148514851485149,0.0115511551155116,0.00825082508250825,0.0148514851485149,0.0115511551155116,0.0115511551155116,0.0066006600660066,0.0198019801980198,0.00495049504950495,0.0148514851485149,0.0099009900990099,0.00825082508250825,0.0181518151815182,0.0066006600660066,"00124D98"
"2","inat19",0.0102040816326531,0,0.0102040816326531,0.0102040816326531,0.0204081632653061,0.0102040816326531,0.0204081632653061,0,0,0.0204081632653061,0,0.0204081632653061,0.0102040816326531,0.0102040816326531,0.0102040816326531,0.0204081632653061,0.0306122448979592,0.0204081632653061,0.0102040816326531,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0510204081632653,0.0204081632653061,0.0510204081632653,0.0510204081632653,0.0204081632653061,0.0102040816326531,0.0102040816326531,0.0102040816326531,0.0306122448979592,0.0204081632653061,0.0510204081632653,0,0.0204081632653061,0.0102040816326531,0.0204081632653061,0.0816326530612245,0.0102040816326531,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0306122448979592,0.0204081632653061,0.0510204081632653,0.0102040816326531,0,0.0306122448979592,0,0.0204081632653061,0,0.0102040816326531,"00635FF9"
"3","inat19",0.0199004975124378,0.0298507462686567,0,0.0298507462686567,0,0.00497512437810945,0.0248756218905473,0.0149253731343284,0,0.00497512437810945,0.0099502487562189,0,0.00497512437810945,0.00497512437810945,0.00497512437810945,0.0149253731343284,0.0945273631840796,0.0099502487562189,0.00497512437810945,0,0.00497512437810945,0,0.0099502487562189,0,0,0,0.0895522388059701,0.0398009950248756,0.0099502487562189,0.0348258706467662,0.0646766169154229,0.0348258706467662,0.0149253731343284,0.0447761194029851,0.0149253731343284,0.054726368159204,0.0248756218905473,0.054726368159204,0.0199004975124378,0.0099502487562189,0.0248756218905473,0.0149253731343284,0.00497512437810945,0.0149253731343284,0.054726368159204,0.00497512437810945,0.0298507462686567,0.0149253731343284,0,0.0199004975124378,0,0.0099502487562189,"01060BFD"
"4","inat19",0.0495867768595041,0.0495867768595041,0.0165289256198347,0.0743801652892562,0.0247933884297521,0.0247933884297521,0,0.0578512396694215,0,0.0330578512396694,0.0578512396694215,0.0495867768595041,0.0330578512396694,0.00826446280991736,0.0495867768595041,0.00826446280991736,0.00826446280991736,0.00826446280991736,0,0,0,0.00826446280991736,0,0,0.0247933884297521,0,0.00826446280991736,0,0,0,0.00826446280991736,0.00826446280991736,0.0165289256198347,0.00826446280991736,0,0.00826446280991736,0,0.00826446280991736,0.00826446280991736,0,0,0.00826446280991736,0.00826446280991736,0.0165289256198347,0.0495867768595041,0.0413223140495868,0.00826446280991736,0.0247933884297521,0.0165289256198347,0.0495867768595041,0.0578512396694215,0.0578512396694215,"018B3169"
"5","inat19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.0833333333333333,0,0,0,0.166666666666667,0,0.0833333333333333,0,0,0,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,0.0833333333333333,0,0,0,0,"029491CD"
"6","inat19",0,0.0222222222222222,0.0222222222222222,0.0666666666666667,0,0,0,0,0,0,0,0.0444444444444444,0,0.0222222222222222,0.0222222222222222,0.0666666666666667,0.177777777777778,0.0888888888888889,0,0.0444444444444444,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0.0222222222222222,0,0,0,0,0.0222222222222222,0.0444444444444444,0.0444444444444444,0,0.0444444444444444,0,0.0222222222222222,0.111111111111111,0.0222222222222222,0.0222222222222222,0.0222222222222222,"0337440E"
"7","inat19",0.0173913043478261,0.0434782608695652,0.0173913043478261,0.0521739130434783,0.0173913043478261,0.0347826086956522,0.0173913043478261,0.0608695652173913,0.0260869565217391,0.0347826086956522,0.0173913043478261,0.0608695652173913,0,0.00869565217391304,0.0260869565217391,0.00869565217391304,0.0869565217391304,0,0.00869565217391304,0.00869565217391304,0,0.0260869565217391,0,0.00869565217391304,0,0.00869565217391304,0,0.0173913043478261,0.00869565217391304,0,0.0173913043478261,0,0.00869565217391304,0,0,0.00869565217391304,0,0.00869565217391304,0,0.00869565217391304,0.00869565217391304,0.0260869565217391,0.0173913043478261,0,0.0434782608695652,0.0260869565217391,0.0173913043478261,0.0347826086956522,0.0434782608695652,0.0608695652173913,0.0260869565217391,0.0260869565217391,"03AC32BA"
"8","inat19",0.0223463687150838,0.0223463687150838,0.00558659217877095,0.0167597765363128,0.0111731843575419,0.0279329608938547,0.0279329608938547,0.0223463687150838,0.0111731843575419,0.00558659217877095,0.0167597765363128,0.0335195530726257,0.00558659217877095,0.0167597765363128,0.0223463687150838,0.0446927374301676,0.00558659217877095,0.00558659217877095,0,0,0.00558659217877095,0,0,0,0,0,0,0,0.00558659217877095,0.00558659217877095,0.0335195530726257,0.0111731843575419,0.0391061452513966,0.0614525139664804,0.0391061452513966,0.0502793296089385,0.0446927374301676,0.0223463687150838,0.0279329608938547,0.0279329608938547,0.0223463687150838,0.0223463687150838,0.0391061452513966,0.0279329608938547,0,0.0223463687150838,0.0335195530726257,0.0111731843575419,0.0111731843575419,0.0391061452513966,0.0167597765363128,0.0558659217877095,"0413ED30"
"9","inat19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0.4,0,"049D9AEA"
"10","inat19",0.0851063829787234,0.0808510638297872,0.025531914893617,0.0382978723404255,0.025531914893617,0.0553191489361702,0.0297872340425532,0.0127659574468085,0.0340425531914894,0.00851063829787234,0.0127659574468085,0.025531914893617,0.0127659574468085,0.0170212765957447,0.00425531914893617,0.0127659574468085,0.0212765957446809,0.0127659574468085,0.0553191489361702,0.00425531914893617,0.00425531914893617,0,0,0,0,0,0,0,0.0170212765957447,0,0.00851063829787234,0.0212765957446809,0.0468085106382979,0.0212765957446809,0.00851063829787234,0.0127659574468085,0.00851063829787234,0.00851063829787234,0.025531914893617,0.025531914893617,0.0340425531914894,0.00425531914893617,0.0170212765957447,0.0212765957446809,0.0212765957446809,0.00851063829787234,0.00851063829787234,0.025531914893617,0.00851063829787234,0.025531914893617,0.00851063829787234,0.0340425531914894,"06B9BD24"
