AVIBASEID,yr_db,Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52
7E327303,inat22,0.016064482,0.016080771,0.016142859,0.016245758,0.016384127,0.016552576,0.016745943,0.016959522,0.017189244,0.017431793,0.017684647,0.017946064,0.018214985,0.018490897,0.01877364,0.019063183,0.019359388,0.019661777,0.01996931,0.02028021,0.020591829,0.020900577,0.021201919,0.021490445,0.021760004,0.02200391,0.022215198,0.022386926,0.022512495,0.022585991,0.022602501,0.022558415,0.022451667,0.022281929,0.022050722,0.02176145,0.021419347,0.021031346,0.020605859,0.0201525,0.019681741,0.01920454,0.01873194,0.018274672,0.017842777,0.017445258,0.017089797,0.016782534,0.016527915,0.016328637,0.016185663,0.016098323
C25794D5,inat22,0.006048431,0.009096355,0.012488925,0.01614746,0.019979255,0.023881226,0.027744151,0.031457308,0.034913248,0.03801246,0.040667678,0.042807598,0.04437981,0.045352796,0.045716889,0.045484149,0.044687184,0.043376967,0.041619815,0.039493671,0.037083933,0.034479041,0.031766098,0.029026735,0.026333485,0.023746827,0.02131307,0.019063185,0.017012607,0.015162029,0.013499081,0.012000803,0.010636724,0.009372341,0.008172789,0.007006446,0.005848247,0.004682495,0.003504985,0.002324295,0.001162165,0.000980584,0.000980584,0.000980584,0.000980584,0.000980584,0.000980584,0.000980584,0.000980584,0.000980584,0.001215015,0.003406972
8EB0C1FA,inat22,0.024182721,0.025278938,0.026164492,0.026792987,0.027130839,0.027159187,0.026874973,0.026291144,0.02543595,0.024351385,0.02309086,0.021716238,0.020294406,0.018893576,0.017579532,0.016412035,0.015441591,0.014706769,0.014232222,0.014027512,0.014086823,0.014389554,0.014901765,0.015578393,0.016366089,0.017206525,0.018039967,0.018808904,0.019461525,0.019954831,0.020257211,0.020350319,0.020230154,0.01990727,0.019406112,0.018763513,0.018026437,0.017249114,0.016489723,0.015806814,0.015255703,0.014885026,0.014733669,0.014828258,0.015181349,0.015790437,0.016637839,0.017691461,0.018906414,0.020227387,0.021591635,0.022932424
13E9F9B4,inat22,0.026975852,0.0226124,0.018402171,0.014553989,0.01125104,0.008640814,0.006827181,0.005865056,0.005757937,0.00645847,0.007871985,0.009862779,0.012262786,0.014882111,0.017520796,0.01998114,0.022079835,0.023659207,0.024596899,0.02481343,0.024277176,0.023006487,0.021068809,0.018576854,0.015682049,0.012565642,0.009427978,0.00647657,0.003913681,0.001924115,0.000998492,0.000998492,0.000998492,0.002202691,0.004557012,0.007736498,0.011610329,0.016006926,0.020723141,0.025535302,0.030211476,0.03452425,0.038263304,0.041247043,0.043332632,0.04442385,0.04447632,0.043499807,0.041557465,0.038762075,0.035269489,0.031269673
9BEECB7E,inat22,0.035152829,0.03612463,0.036710586,0.036886512,0.036643218,0.035987028,0.034939527,0.033536547,0.031826451,0.029867803,0.027726564,0.025472954,0.023178163,0.020911083,0.018735248,0.016706133,0.014868968,0.013257168,0.011891459,0.01077974,0.009917667,0.009289906,0.008871983,0.008632593,0.008536232,0.008545978,0.008626259,0.00874543,0.008878006,0.009006414,0.009122157,0.009226322,0.009329409,0.009450469,0.009615642,0.009856147,0.010205876,0.010698726,0.011365835,0.012232906,0.013317769,0.014628352,0.016161183,0.017900535,0.019818268,0.021874401,0.024018394,0.026191078,0.028327144,0.030358043,0.032215165,0.033833101
A5EC8BF5,inat22,0.014966364,0.014321876,0.013516865,0.012591213,0.011598416,0.010602476,0.009674093,0.008886369,0.008310277,0.008010172,0.0080396,0.008437661,0.009226137,0.010407576,0.011964437,0.013859363,0.016036579,0.018424339,0.020938297,0.023485619,0.025969594,0.028294516,0.030370525,0.03211818,0.033472468,0.034386052,0.034831564,0.034802822,0.034314899,0.033403053,0.032120578,0.030535701,0.028727711,0.026782533,0.024788022,0.022829215,0.020983846,0.019318354,0.017884611,0.016717572,0.015833941,0.015231949,0.014892231,0.014779744,0.014846602,0.015035654,0.01528458,0.015530263,0.015713165,0.015781451,0.015694595,0.015426277
C9ABA616,inat22,0.00811972,0.007533974,0.007497731,0.008035727,0.009140898,0.010774429,0.012867649,0.015325634,0.018032333,0.020856925,0.023661034,0.026306393,0.028662524,0.030613976,0.032066729,0.032953366,0.033236752,0.032911974,0.032006465,0.030578281,0.02871265,0.026516982,0.024114648,0.021637866,0.01922013,0.016988599,0.015056905,0.013518783,0.012442893,0.011869131,0.011806643,0.012233643,0.013099054,0.014325854,0.015815948,0.017456255,0.019125668,0.020702467,0.022071756,0.023132475,0.023803591,0.024029087,0.023781467,0.023063563,0.02190854,0.020378093,0.018558939,0.016557813,0.014495248,0.012498509,0.010694087,0.009200199
20C2214E,inat22,0.039253174,0.038426318,0.037115045,0.035365342,0.033239915,0.030815112,0.028177169,0.025418005,0.022630764,0.019905394,0.017324457,0.014959449,0.012867781,0.011090612,0.00965163,0.008556838,0.007795332,0.007341026,0.007155191,0.007189658,0.007390476,0.007701803,0.008069799,0.008446276,0.008791885,0.009078662,0.009291767,0.009430319,0.00950728,0.009548396,0.009590256,0.009677605,0.009860048,0.010188373,0.010710705,0.011468728,0.01249421,0.013806057,0.015408063,0.017287525,0.019414809,0.021743914,0.024214008,0.02675188,0.029275169,0.031696202,0.033926224,0.035879805,0.037479156,0.038658133,0.039365686,0.039568571
8F268682,inat22,0.048208967,0.045238859,0.041723641,0.037820667,0.033695945,0.029515372,0.025436174,0.021599015,0.018121231,0.015091548,0.012566582,0.010569289,0.009089439,0.008086047,0.007491611,0.00721787,0.00716272,0.007217872,0.007276772,0.007242298,0.007033771,0.006592852,0.005887959,0.004916933,0.003707796,0.002317539,0.00097233,0.00097233,0.00097233,0.00097233,0.00097233,0.00097233,0.00097233,0.00097233,0.00097233,0.001459602,0.004621448,0.008426826,0.012780888,0.017557578,0.022605109,0.027752945,0.032819925,0.037623067,0.04198658,0.045750572,0.048778975,0.050966247,0.052242479,0.052576626,0.051977677,0.050493723
866903B9,inat22,0.016477182,0.016775556,0.016832842,0.016643561,0.016222193,0.015602282,0.014834355,0.013982776,0.013121714,0.012330477,0.011688474,0.011270111,0.011139929,0.011348264,0.0119277,0.012890523,0.014227334,0.015906921,0.017877392,0.020068526,0.022395205,0.02476175,0.027066899,0.029209169,0.031092274,0.032630315,0.033752426,0.034406622,0.034562629,0.03421353,0.033376133,0.03209005,0.030415523,0.028430134,0.026224589,0.023897799,0.021551564,0.019285144,0.017190028,0.015345205,0.013813198,0.012637083,0.011838652,0.01141783,0.011353353,0.011604673,0.012114962,0.012815024,0.013627901,0.01447387,0.015275548,0.015962805
D201EB72,inat22,0.045727447,0.047084455,0.047809251,0.04785214,0.04718844,0.045820243,0.043776824,0.041113674,0.037910193,0.034266182,0.030297296,0.026129726,0.021894391,0.01772095,0.013731964,0.010037527,0.006730639,0.003883577,0.001545445,0.000982436,0.000982436,0.000982436,0.000982436,0.000982436,0.000982436,0.000982436,0.000982436,0.000982436,0.001765301,0.002827557,0.003839785,0.004779636,0.00564273,0.006442173,0.007206875,0.00797877,0.008809119,0.009754131,0.010870171,0.012208862,0.013812387,0.015709288,0.017911032,0.020409566,0.023176044,0.0261608,0.029294617,0.03249123,0.03565094,0.038665154,0.041421601,0.043809941
42393721,inat22,0.021187346,0.02217912,0.023189988,0.024174354,0.025085194,0.025876639,0.026506536,0.026938848,0.027145734,0.027109208,0.026822275,0.026289465,0.02552675,0.024560834,0.023427858,0.022171591,0.020841206,0.019488776,0.018166608,0.016924594,0.015807697,0.014853741,0.014091606,0.013539933,0.013206421,0.013087731,0.013170012,0.013430008,0.01383668,0.014353244,0.014939495,0.015554297,0.016158076,0.016715172,0.017195927,0.017578362,0.017849369,0.018005345,0.018052218,0.018004884,0.017886092,0.017724818,0.017554273,0.017409612,0.017325533,0.017333871,0.01746136,0.017727675,0.018143901,0.018711499,0.019421845,0.020256378
E0A04985,inat22,0.000952739,0.000952739,0.000952739,0.000952739,0.000952739,0.000952739,0.000952739,0.000952739,0.001562269,0.005227815,0.009750309,0.015014809,0.020859709,0.027084028,0.033457067,0.039729904,0.045648095,0.050964848,0.055453955,0.058921729,0.061217279,0.062240544,0.061947618,0.060353079,0.057529173,0.053601917,0.048744329,0.043167178,0.037107778,0.030817464,0.024548451,0.018540835,0.013010447,0.008138254,0.004061891,0.000952739,0.000952739,0.000952739,0.000952739,0.000952739,0.000952739,0.000952739,0.000952739,0.001884417,0.003286151,0.004427276,0.005190829,0.005499089,0.005318576,0.004662228,0.003588612,0.002198221
FED3756C,inat22,0.034298456,0.034906942,0.034976703,0.034535842,0.033636235,0.03235014,0.030765704,0.028981642,0.027101411,0.02522719,0.023454056,0.021864653,0.020524688,0.019479505,0.018751918,0.018341443,0.018224948,0.018358684,0.01868156,0.019119477,0.019590436,0.020010132,0.020297679,0.02038114,0.020202511,0.019721865,0.018920409,0.017802255,0.016394802,0.014747692,0.012930392,0.011028542,0.009139268,0.00736573,0.005811231,0.004573203,0.003737442,0.003372924,0.003527496,0.004224707,0.005461963,0.007210129,0.009414595,0.011997766,0.014862834,0.017898629,0.020985268,0.024000303,0.026825005,0.029350438,0.031482988,0.033149027
31ACA998,inat22,0.009693838,0.009660934,0.009846222,0.010247377,0.010854336,0.011649686,0.012609416,0.013703992,0.014899687,0.016160107,0.017447821,0.018726019,0.019960092,0.021119067,0.022176812,0.023112956,0.023913469,0.024570892,0.025084201,0.025458322,0.02570334,0.025833447,0.025865704,0.025818692,0.025711129,0.025560553,0.025382137,0.025187714,0.024985067,0.024777529,0.024563913,0.024338771,0.024092974,0.023814567,0.023489844,0.023104581,0.022645347,0.022100805,0.021462927,0.020728035,0.019897617,0.018978832,0.017984701,0.016933935,0.015850419,0.014762365,0.013701178,0.012700099,0.011792685,0.011011217,0.010385124,0.009939506
