AVIBASEID,yr_db,Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52
7E327303,ebird19,0.016791601,0.016756451,0.016905206,0.017243406,0.01776479,0.018451464,0.019274761,0.02019674,0.021172251,0.022151431,0.023082508,0.02391473,0.024601267,0.025101911,0.025385419,0.025431355,0.025231339,0.024789617,0.024122921,0.023259629,0.022238263,0.021105423,0.019913266,0.01871667,0.017570259,0.016525444,0.015627657,0.014913934,0.014410984,0.01413385,0.014085245,0.014255586,0.014623735,0.015158388,0.015820044,0.016563417,0.017340172,0.018101807,0.018802524,0.019401908,0.019867273,0.020175533,0.020314483,0.020283426,0.020093106,0.019764952,0.019329686,0.018825359,0.018294963,0.017783727,0.017336281,0.016993842
C25794D5,ebird19,0.001077339,0.002356647,0.004273995,0.006857197,0.010098173,0.01395134,0.018334185,0.023129994,0.028192625,0.033353067,0.038427438,0.043225978,0.047562542,0.051264073,0.054179499,0.056187585,0.057203274,0.057182167,0.056122894,0.054067227,0.051097944,0.047334553,0.042927118,0.038048541,0.032885728,0.027630133,0.022468217,0.017572347,0.013092638,0.009150188,0.005832074,0.003188361,0.001231274,0.000989061,0.000989061,0.000989061,0.000989061,0.000989061,0.000989061,0.001327288,0.002028424,0.0025827,0.002926259,0.003024503,0.002874322,0.002504231,0.001972429,0.001362879,0.000989061,0.000989061,0.000989061,0.000989061
8EB0C1FA,ebird19,0.020794908,0.02185035,0.022906586,0.023920578,0.024849242,0.025651724,0.026291582,0.026738755,0.026971204,0.026976141,0.026750755,0.026302416,0.025648331,0.02481467,0.023835218,0.02274963,0.021601371,0.020435484,0.019296281,0.018225115,0.017258336,0.01642556,0.01574833,0.01523926,0.014901688,0.014729871,0.014709681,0.014819782,0.0150332,0.015319184,0.015645268,0.015979386,0.016291923,0.016557593,0.016757003,0.016877847,0.016915625,0.016873868,0.016763854,0.016603819,0.016417727,0.016233661,0.016081944,0.015993083,0.015995686,0.016114457,0.016368393,0.016769309,0.017320759,0.018017438,0.018845105,0.019781021
13E9F9B4,ebird19,0.022226522,0.022267585,0.022166369,0.021968655,0.021724747,0.021485989,0.021301238,0.021213511,0.02125702,0.021454752,0.02181677,0.022339304,0.023004726,0.023782385,0.024630274,0.025497419,0.026326874,0.027059121,0.027635695,0.028002813,0.028114799,0.027937087,0.027448647,0.026643655,0.025532341,0.024140918,0.022510624,0.020695901,0.018761819,0.016780883,0.014829403,0.012983624,0.011315834,0.009890679,0.008761871,0.007969495,0.007538048,0.007475335,0.00777226,0.008403545,0.009329318,0.01049747,0.011846665,0.013309806,0.014817769,0.016303192,0.017704088,0.018967099,0.020050183,0.020924604,0.021576097,0.022005173
9BEECB7E,ebird19,0.02768984,0.027519862,0.02736072,0.027208001,0.027049934,0.026868377,0.02664027,0.026339461,0.025938809,0.025412403,0.024737792,0.02389806,0.022883625,0.021693656,0.020336982,0.018832466,0.017208784,0.015503608,0.013762252,0.012035817,0.010378953,0.008847352,0.0074951,0.006372043,0.005521313,0.004977139,0.004763084,0.00489079,0.005359315,0.006155093,0.007252522,0.008615152,0.010197404,0.011946729,0.013806089,0.015716618,0.017620328,0.019462705,0.021195058,0.022776498,0.024175444,0.025370575,0.026351199,0.027117012,0.027677296,0.028049587,0.028257934,0.028330827,0.028298956,0.028192913,0.028041,0.027867255
A5EC8BF5,ebird19,0.012413268,0.011155823,0.009930653,0.008811507,0.007872308,0.007182725,0.00680391,0.006784629,0.007158045,0.007939317,0.009124187,0.010688625,0.012589571,0.014766741,0.017145398,0.019639939,0.022158107,0.024605578,0.026890687,0.028929017,0.030647602,0.0319885,0.032911553,0.033396166,0.033442024,0.033068707,0.03231422,0.031232556,0.029890404,0.028363217,0.026730869,0.025073137,0.02346529,0.021974017,0.020653945,0.019544929,0.018670275,0.018035986,0.017631063,0.017428848,0.0173893,0.017462081,0.017590246,0.017714323,0.017776528,0.01772486,0.017516829,0.017122587,0.016527278,0.015732448,0.014756441,0.013633736
C9ABA616,ebird19,0.017908194,0.017213335,0.016678492,0.016330837,0.016186095,0.016247698,0.016506657,0.016942163,0.017522882,0.018208862,0.018953946,0.019708546,0.020422618,0.021048659,0.021544554,0.021876111,0.022019124,0.02196085,0.021700819,0.021250913,0.020634726,0.019886225,0.019047811,0.018167862,0.017297933,0.016489751,0.01579219,0.015248408,0.014893295,0.014751403,0.014835455,0.015145547,0.015669067,0.016381349,0.017247021,0.018221976,0.019255845,0.020294827,0.021284732,0.022174034,0.022916781,0.023475178,0.023821714,0.023940677,0.023829013,0.02349644,0.02296484,0.022266949,0.021444428,0.020545424,0.01962177,0.018725976
20C2214E,ebird19,0.037194897,0.037148471,0.036685142,0.03582007,0.034582824,0.033015973,0.031173038,0.029115927,0.026911997,0.024630904,0.022341402,0.020108279,0.017989591,0.016034329,0.014280655,0.012754786,0.011470571,0.010429781,0.009623067,0.009031521,0.008628733,0.008383217,0.008261037,0.008228483,0.008254627,0.008313598,0.008386439,0.008462438,0.008539843,0.008625925,0.008736386,0.008894141,0.009127562,0.00946828,0.009948686,0.010599292,0.011446102,0.012508169,0.013795498,0.015307411,0.017031513,0.018943306,0.021006511,0.023174086,0.025389895,0.027590956,0.029710138,0.031679177,0.033431844,0.03490709,0.036052001,0.03682439
8F268682,ebird19,0.046413194,0.044129662,0.041366986,0.038232203,0.034840424,0.031309124,0.027752474,0.024276036,0.020972099,0.01791592,0.015163052,0.012747892,0.010683519,0.008962785,0.007560586,0.006437146,0.005542096,0.00481909,0.004210655,0.003662986,0.003130373,0.002578986,0.001989788,0.001360385,0.000988769,0.000988769,0.000988769,0.000988769,0.000988769,0.000988769,0.000988769,0.000988769,0.000988769,0.002195834,0.004255787,0.00680726,0.009824033,0.013256369,0.017032077,0.021058848,0.025227766,0.029417816,0.033501147,0.037348814,0.040836696,0.043851254,0.046294833,0.048090203,0.049184106,0.049549605,0.049187113,0.048124059
866903B9,ebird19,0.013843908,0.013967585,0.014222487,0.014576717,0.014995401,0.015442925,0.015885166,0.016291597,0.016637128,0.016903587,0.017080751,0.017166857,0.017168588,0.017100506,0.016983999,0.016845779,0.016716042,0.016626388,0.016607633,0.016687646,0.016889342,0.01722894,0.017714622,0.018345645,0.019111983,0.019994527,0.020965816,0.021991294,0.023030993,0.024041571,0.024978586,0.025798862,0.026462844,0.026936768,0.027194562,0.027219333,0.027004382,0.026553664,0.02588169,0.025012847,0.023980199,0.022823818,0.021588747,0.020322702,0.019073657,0.01788742,0.01680537,0.015862447,0.015085534,0.0144923,0.014090572,0.013878273
