AVIBASEID,Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52,yr_db
00124D98,0.01155115511551155,0.01485148514851485,0.0049504950495049506,0.02145214521452145,0.013201320132013201,0.0033003300330033004,0.0049504950495049506,0.013201320132013201,0.009900990099009901,0.01485148514851485,0.0231023102310231,0.018151815181518153,0.026402640264026403,0.018151815181518153,0.02145214521452145,0.028052805280528052,0.09075907590759076,0.054455445544554455,0.036303630363036306,0.026402640264026403,0.039603960396039604,0.0231023102310231,0.02145214521452145,0.041254125412541254,0.019801980198019802,0.0165016501650165,0.02145214521452145,0.02145214521452145,0.00825082508250825,0.0231023102310231,0.034653465346534656,0.0165016501650165,0.009900990099009901,0.009900990099009901,0.026402640264026403,0.037953795379537955,0.00825082508250825,0.0033003300330033004,0.01485148514851485,0.01155115511551155,0.00825082508250825,0.01485148514851485,0.01155115511551155,0.01155115511551155,0.006600660066006601,0.019801980198019802,0.0049504950495049506,0.01485148514851485,0.009900990099009901,0.00825082508250825,0.018151815181518153,0.006600660066006601,inat19
00635FF9,0.01020408163265306,0.0,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.02040816326530612,0.0,0.0,0.02040816326530612,0.0,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.030612244897959183,0.02040816326530612,0.01020408163265306,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.05102040816326531,0.02040816326530612,0.05102040816326531,0.05102040816326531,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.030612244897959183,0.02040816326530612,0.05102040816326531,0.0,0.02040816326530612,0.01020408163265306,0.02040816326530612,0.08163265306122448,0.01020408163265306,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.030612244897959183,0.02040816326530612,0.05102040816326531,0.01020408163265306,0.0,0.030612244897959183,0.0,0.02040816326530612,0.0,0.01020408163265306,inat19
01060BFD,0.01990049751243781,0.029850746268656716,0.0,0.029850746268656716,0.0,0.004975124378109453,0.024875621890547265,0.014925373134328358,0.0,0.004975124378109453,0.009950248756218905,0.0,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.014925373134328358,0.0945273631840796,0.009950248756218905,0.004975124378109453,0.0,0.004975124378109453,0.0,0.009950248756218905,0.0,0.0,0.0,0.08955223880597014,0.03980099502487562,0.009950248756218905,0.03482587064676617,0.06467661691542288,0.03482587064676617,0.014925373134328358,0.04477611940298507,0.014925373134328358,0.05472636815920398,0.024875621890547265,0.05472636815920398,0.01990049751243781,0.009950248756218905,0.024875621890547265,0.014925373134328358,0.004975124378109453,0.014925373134328358,0.05472636815920398,0.004975124378109453,0.029850746268656716,0.014925373134328358,0.0,0.01990049751243781,0.0,0.009950248756218905,inat19
018B3169,0.049586776859504134,0.049586776859504134,0.01652892561983471,0.0743801652892562,0.024793388429752067,0.024793388429752067,0.0,0.05785123966942149,0.0,0.03305785123966942,0.05785123966942149,0.049586776859504134,0.03305785123966942,0.008264462809917356,0.049586776859504134,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.024793388429752067,0.0,0.008264462809917356,0.0,0.0,0.0,0.008264462809917356,0.008264462809917356,0.01652892561983471,0.008264462809917356,0.0,0.008264462809917356,0.0,0.008264462809917356,0.008264462809917356,0.0,0.0,0.008264462809917356,0.008264462809917356,0.01652892561983471,0.049586776859504134,0.04132231404958678,0.008264462809917356,0.024793388429752067,0.01652892561983471,0.049586776859504134,0.05785123966942149,0.05785123966942149,inat19
029491CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,inat19
0337440E,0.0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.17777777777777778,0.08888888888888889,0.0,0.044444444444444446,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.0,0.044444444444444446,0.0,0.022222222222222223,0.1111111111111111,0.022222222222222223,0.022222222222222223,0.022222222222222223,inat19
03AC32BA,0.017391304347826087,0.043478260869565216,0.017391304347826087,0.05217391304347826,0.017391304347826087,0.034782608695652174,0.017391304347826087,0.06086956521739131,0.02608695652173913,0.034782608695652174,0.017391304347826087,0.06086956521739131,0.0,0.008695652173913044,0.02608695652173913,0.008695652173913044,0.08695652173913043,0.0,0.008695652173913044,0.008695652173913044,0.0,0.02608695652173913,0.0,0.008695652173913044,0.0,0.008695652173913044,0.0,0.017391304347826087,0.008695652173913044,0.0,0.017391304347826087,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044,0.0,0.008695652173913044,0.0,0.008695652173913044,0.008695652173913044,0.02608695652173913,0.017391304347826087,0.0,0.043478260869565216,0.02608695652173913,0.017391304347826087,0.034782608695652174,0.043478260869565216,0.06086956521739131,0.02608695652173913,0.02608695652173913,inat19
0413ED30,0.0223463687150838,0.0223463687150838,0.00558659217877095,0.01675977653631285,0.0111731843575419,0.027932960893854747,0.027932960893854747,0.0223463687150838,0.0111731843575419,0.00558659217877095,0.01675977653631285,0.0335195530726257,0.00558659217877095,0.01675977653631285,0.0223463687150838,0.0446927374301676,0.00558659217877095,0.00558659217877095,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558659217877095,0.00558659217877095,0.0335195530726257,0.0111731843575419,0.03910614525139665,0.061452513966480445,0.03910614525139665,0.05027932960893855,0.0446927374301676,0.0223463687150838,0.027932960893854747,0.027932960893854747,0.0223463687150838,0.0223463687150838,0.03910614525139665,0.027932960893854747,0.0,0.0223463687150838,0.0335195530726257,0.0111731843575419,0.0111731843575419,0.03910614525139665,0.01675977653631285,0.055865921787709494,inat19
049D9AEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.4,0.0,inat19
06B9BD24,0.0851063829787234,0.08085106382978724,0.02553191489361702,0.03829787234042553,0.02553191489361702,0.05531914893617021,0.029787234042553193,0.01276595744680851,0.03404255319148936,0.00851063829787234,0.01276595744680851,0.02553191489361702,0.01276595744680851,0.01702127659574468,0.00425531914893617,0.01276595744680851,0.02127659574468085,0.01276595744680851,0.05531914893617021,0.00425531914893617,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01702127659574468,0.0,0.00851063829787234,0.02127659574468085,0.04680851063829787,0.02127659574468085,0.00851063829787234,0.01276595744680851,0.00851063829787234,0.00851063829787234,0.02553191489361702,0.02553191489361702,0.03404255319148936,0.00425531914893617,0.01702127659574468,0.02127659574468085,0.02127659574468085,0.00851063829787234,0.00851063829787234,0.02553191489361702,0.00851063829787234,0.02553191489361702,0.00851063829787234,0.03404255319148936,inat19
0716A71C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.01,0.0,0.0,0.005,0.0,0.005,0.025,0.015,0.005,0.02,0.015,0.0,0.025,0.01,0.005,0.055,0.02,0.035,0.035,0.05,0.09,0.07,0.02,0.065,0.045,0.02,0.06,0.025,0.02,0.055,0.045,0.045,0.005,0.02,0.025,0.035,inat19
0783A7EA,0.030456852791878174,0.03553299492385787,0.02030456852791878,0.06598984771573604,0.08121827411167512,0.03553299492385787,0.030456852791878174,0.04060913705583756,0.050761421319796954,0.04568527918781726,0.04568527918781726,0.03553299492385787,0.030456852791878174,0.02030456852791878,0.015228426395939087,0.02030456852791878,0.0,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.01015228426395939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.005076142131979695,0.015228426395939087,0.01015228426395939,0.01015228426395939,0.03553299492385787,0.02030456852791878,0.025380710659898477,0.01015228426395939,0.04568527918781726,0.04060913705583756,0.03553299492385787,0.04568527918781726,0.07614213197969544,inat19
0ADA5F17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.03409090909090909,0.022727272727272728,0.0625,0.0625,0.022727272727272728,0.07386363636363637,0.06818181818181818,0.03977272727272727,0.05113636363636364,0.028409090909090908,0.011363636363636364,0.0625,0.017045454545454544,0.03977272727272727,0.03977272727272727,0.011363636363636364,0.03409090909090909,0.03977272727272727,0.03409090909090909,0.05113636363636364,0.005681818181818182,0.005681818181818182,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,0.0,0.0,0.005681818181818182,0.0,inat19
0B1B2EB6,0.04119850187265917,0.011235955056179775,0.00749063670411985,0.00749063670411985,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.018726591760299626,0.011235955056179775,0.02247191011235955,0.0149812734082397,0.026217228464419477,0.00749063670411985,0.003745318352059925,0.0,0.003745318352059925,0.011235955056179775,0.0,0.003745318352059925,0.003745318352059925,0.0,0.003745318352059925,0.003745318352059925,0.0149812734082397,0.003745318352059925,0.011235955056179775,0.02247191011235955,0.0149812734082397,0.011235955056179775,0.011235955056179775,0.003745318352059925,0.00749063670411985,0.003745318352059925,0.003745318352059925,0.003745318352059925,0.0,0.00749063670411985,0.011235955056179775,0.052434456928838954,0.03745318352059925,0.056179775280898875,0.033707865168539325,0.04868913857677903,0.04868913857677903,0.08239700374531835,0.03745318352059925,0.0449438202247191,0.06367041198501873,0.026217228464419477,0.0599250936329588,0.0149812734082397,0.026217228464419477,inat19
0BCBA6B9,0.012048192771084338,0.1686746987951807,0.08433734939759036,0.14457831325301204,0.03614457831325301,0.03614457831325301,0.024096385542168676,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.024096385542168676,0.012048192771084338,0.024096385542168676,0.03614457831325301,0.07228915662650602,0.012048192771084338,0.03614457831325301,0.04819277108433735,0.1686746987951807,inat19
0D88C072,0.031088082901554404,0.02072538860103627,0.0051813471502590676,0.02072538860103627,0.02072538860103627,0.015544041450777202,0.010362694300518135,0.010362694300518135,0.010362694300518135,0.015544041450777202,0.03626943005181347,0.0051813471502590676,0.015544041450777202,0.0051813471502590676,0.010362694300518135,0.0,0.03626943005181347,0.0051813471502590676,0.02072538860103627,0.010362694300518135,0.02072538860103627,0.0051813471502590676,0.0051813471502590676,0.02072538860103627,0.0051813471502590676,0.0051813471502590676,0.025906735751295335,0.0051813471502590676,0.010362694300518135,0.05181347150259067,0.02072538860103627,0.031088082901554404,0.02072538860103627,0.010362694300518135,0.015544041450777202,0.02072538860103627,0.02072538860103627,0.02072538860103627,0.03626943005181347,0.010362694300518135,0.02072538860103627,0.046632124352331605,0.010362694300518135,0.015544041450777202,0.05699481865284974,0.046632124352331605,0.02072538860103627,0.010362694300518135,0.03626943005181347,0.046632124352331605,0.0051813471502590676,0.015544041450777202,inat19
0E599E6C,0.01607717041800643,0.05466237942122187,0.03536977491961415,0.03858520900321544,0.012861736334405145,0.04180064308681672,0.006430868167202572,0.028938906752411574,0.028938906752411574,0.04180064308681672,0.07717041800643087,0.02572347266881029,0.006430868167202572,0.03215434083601286,0.028938906752411574,0.01929260450160772,0.03536977491961415,0.01607717041800643,0.012861736334405145,0.006430868167202572,0.003215434083601286,0.022508038585209004,0.04501607717041801,0.02572347266881029,0.006430868167202572,0.006430868167202572,0.0,0.003215434083601286,0.0,0.0,0.0,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.0,0.006430868167202572,0.003215434083601286,0.003215434083601286,0.012861736334405145,0.006430868167202572,0.00964630225080386,0.006430868167202572,0.01607717041800643,0.02572347266881029,0.01929260450160772,0.028938906752411574,0.01929260450160772,0.02572347266881029,0.006430868167202572,0.022508038585209004,0.07395498392282958,0.02572347266881029,inat19
0EB07C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.0,0.07317073170731707,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.0,0.04878048780487805,0.07317073170731707,0.0,0.04878048780487805,0.0,0.04878048780487805,0.1951219512195122,0.04878048780487805,0.024390243902439025,0.07317073170731707,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,inat19
115F04DD,0.04365079365079365,0.06349206349206349,0.031746031746031744,0.06349206349206349,0.015873015873015872,0.03968253968253968,0.01984126984126984,0.03571428571428571,0.03571428571428571,0.04365079365079365,0.06349206349206349,0.027777777777777776,0.01984126984126984,0.003968253968253968,0.051587301587301584,0.015873015873015872,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.01984126984126984,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.047619047619047616,0.01984126984126984,0.05555555555555555,0.015873015873015872,0.05952380952380952,0.03571428571428571,0.015873015873015872,0.003968253968253968,0.01984126984126984,0.023809523809523808,0.03968253968253968,inat19
11CF8C9A,0.038461538461538464,0.01282051282051282,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.0,0.01282051282051282,0.01282051282051282,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.01282051282051282,0.038461538461538464,0.02564102564102564,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.038461538461538464,0.0641025641025641,0.01282051282051282,0.0,0.05128205128205128,0.01282051282051282,0.01282051282051282,0.038461538461538464,0.01282051282051282,0.038461538461538464,0.01282051282051282,0.038461538461538464,0.07692307692307693,0.01282051282051282,0.02564102564102564,0.0,0.02564102564102564,inat19
12E354E2,0.03571428571428571,0.07142857142857142,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.07142857142857142,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.07142857142857142,0.0,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.03571428571428571,inat19
