AVIBASEID,Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52,yr_db
00124D98,0.022216789853613642,0.017284518708118833,0.012884300135170113,0.018823157228725088,0.01571712058899658,0.01627793276005867,0.016436110551896695,0.018621840039113054,0.015285726611256507,0.017830951079922924,0.0219579534669696,0.02121020390555348,0.022389347444709672,0.026199994248080297,0.02591239826292025,0.027451036783526502,0.03140548157947715,0.035403065773201806,0.02946420867964683,0.023755428374219897,0.027824911564234563,0.02768111357165454,0.02305081821057778,0.020865088723361423,0.018866296626499093,0.01846366224727503,0.01938396939978718,0.018190446061372982,0.019067613816111127,0.01623479336228466,0.017471456098472865,0.01817606626211498,0.016694946938540737,0.018118547065082972,0.01847804204653303,0.022216789853613642,0.018765638031693076,0.021023266515199448,0.01774467228437491,0.01774467228437491,0.01456673664835639,0.015084409421644475,0.01018089787466567,0.01255356475223606,0.012021512179689971,0.01445169825429237,0.013028098127750137,0.012021512179689971,0.01274050214259009,0.01834862385321101,0.015386385206062524,0.01702568232147479,ebird19
00635FF9,0.014223722275795565,0.007714561234329798,0.009643201542912247,0.014705882352941176,0.005303760848601736,0.006750241080038573,0.009161041465766635,0.0156702025072324,0.003857280617164899,0.007473481195756991,0.01808100289296046,0.017116682738669238,0.020732883317261332,0.015429122468659595,0.028206364513018323,0.034474445515911285,0.03712632594021215,0.048216007714561235,0.03784956605593057,0.020732883317261332,0.03640308582449373,0.04170684667309547,0.028206364513018323,0.045081967213114756,0.02965284474445516,0.027965284474445518,0.022179363548698167,0.021697203471552556,0.01808100289296046,0.0156702025072324,0.01639344262295082,0.01133076181292189,0.013741562198649951,0.01639344262295082,0.01759884281581485,0.022179363548698167,0.02844744455159113,0.020491803278688523,0.018563162970106076,0.019768563162970106,0.012777242044358728,0.02266152362584378,0.01325940212150434,0.010848601735776278,0.017839922854387655,0.016875602700096432,0.01325940212150434,0.0057859209257473485,0.005303760848601736,0.016152362584378015,0.007955641272902604,0.01325940212150434,ebird19
01060BFD,0.021074912571323393,0.017117614577581448,0.009295048775998528,0.02153506350082827,0.008926928032394626,0.015092950487759986,0.011411743051720965,0.016933554205779494,0.008098656359285845,0.009110988404196576,0.00966316951960243,0.008098656359285845,0.007546475243879993,0.014908890115958034,0.01251610528253267,0.03524756120007362,0.03810049696300387,0.025400331308669245,0.01131971286581999,0.0017485735321185348,0.0009203018590097553,0.0005521811154058532,0.00018406037180195104,0.00018406037180195104,0.0011963924167126818,0.006350082827167311,0.024203938891956562,0.01886618810969998,0.032118534879440455,0.028069206699797535,0.03589177250138045,0.0439904288606663,0.03846861770660777,0.05917540953432726,0.04316215718755752,0.054481870053377505,0.030185900975519972,0.03524756120007362,0.023927848334253637,0.019234308853303884,0.017577765507086323,0.023375667218847783,0.014816859930057059,0.019418369225105835,0.022731455917540954,0.01601325234676974,0.017393705135284373,0.015553101417264863,0.014080618442849255,0.01582919197496779,0.009387078961899503,0.014264678814651205,ebird19
018B3169,0.06297356457316046,0.05758545209631251,0.03788516585283718,0.06398383566256946,0.04630409159791211,0.040410843576359656,0.040579222091261156,0.0592692372453275,0.03670651624852669,0.028455969018353258,0.03704327327832969,0.03401246001010271,0.022057585452096313,0.03182353931638323,0.011618117528203402,0.013470281192119885,0.006061626536453949,0.0025256777235224785,0.0015154066341134872,0.0008418925745074928,0.0018521636639164843,0.0008418925745074928,0.0003367570298029971,0.0003367570298029971,0.0025256777235224785,0.0006735140596059942,0.0006735140596059942,0.0005051355447044957,0.0,0.0006735140596059942,0.0003367570298029971,0.0008418925745074928,0.0018521636639164843,0.0010102710894089914,0.0016837851490149856,0.00117864960431049,0.00117864960431049,0.0010102710894089914,0.00235729920862098,0.0031991917831284728,0.0075770331705674356,0.0117864960431049,0.009092439804680923,0.027277319414042767,0.03872705842734467,0.03182353931638323,0.03300218892069372,0.034349217039905705,0.03401246001010271,0.04916652635123758,0.023741370601111297,0.04125273615086715,ebird19
029491CD,0.0,0.004149377593360996,0.0,0.0,0.008298755186721992,0.0,0.0,0.008298755186721992,0.0,0.0,0.004149377593360996,0.008298755186721992,0.0,0.0,0.11618257261410789,0.008298755186721992,0.04979253112033195,0.029045643153526972,0.016597510373443983,0.02074688796680498,0.02074688796680498,0.016597510373443983,0.02074688796680498,0.04979253112033195,0.08298755186721991,0.012448132780082987,0.04979253112033195,0.07468879668049792,0.06639004149377593,0.04979253112033195,0.04979253112033195,0.012448132780082987,0.04149377593360996,0.03319502074688797,0.008298755186721992,0.008298755186721992,0.02074688796680498,0.04564315352697095,0.004149377593360996,0.02074688796680498,0.0,0.0,0.004149377593360996,0.004149377593360996,0.012448132780082987,0.0,0.0,0.016597510373443983,0.0,0.0,0.0,0.0,ebird19
0337440E,0.034167175106772425,0.017998779743746186,0.017693715680292862,0.01921903599755949,0.010067114093959731,0.013727882855399633,0.004881025015253203,0.01982916412446614,0.004270896888346553,0.013422818791946308,0.011287370347773032,0.021964612568639415,0.011592434411226357,0.021049420378279438,0.018608907870652835,0.02410006101281269,0.04942037827943868,0.06314826113483832,0.014948139109212935,0.012507626601586334,0.011592434411226357,0.00762660158633313,0.003050640634533252,0.004881025015253203,0.0009151921903599756,0.0006101281269066504,0.002745576571079927,0.0012202562538133007,0.0018303843807199512,0.0024405125076266015,0.003965832824893227,0.004575960951799878,0.003050640634533252,0.0012202562538133007,0.004270896888346553,0.003355704697986577,0.0018303843807199512,0.0024405125076266015,0.0036607687614399025,0.002745576571079927,0.022269676632092738,0.02593044539353264,0.019524100061012812,0.0460646735814521,0.04179377669310555,0.03691275167785235,0.08206223306894447,0.07046979865771812,0.09090909090909091,0.045454545454545456,0.017693715680292862,0.028981086028065893,ebird19
03AC32BA,0.04900707406460411,0.03920565925168329,0.025995056677746528,0.04082502343816586,0.031023608625245034,0.03341004005795619,0.02642120514787352,0.0490923037586295,0.024460922185289356,0.02360862524503537,0.014403818290292338,0.017898235745333675,0.016193641864825706,0.012613994715758971,0.011591238387454189,0.014574277678343135,0.012443535327708173,0.008352510014489048,0.005625159805676298,0.004858092559447712,0.0033239580669905395,0.004005795619193727,0.004772862865422313,0.001875053268558766,0.0022159720446603597,0.0017898235745333673,0.005625159805676298,0.003920565925168328,0.0031534986789397428,0.004431944089320719,0.002471661126736555,0.003920565925168328,0.001960282962584164,0.002897809596863547,0.0023864314327111565,0.0025568908207619537,0.006903605216057275,0.00605130827580329,0.006477456745930282,0.011761697775504986,0.021222193812324215,0.02454615187931475,0.0219892610585528,0.030341771073041847,0.03988749680388647,0.04184777976647064,0.04150686099036904,0.05054120855706128,0.05122304610926447,0.058978948265575724,0.028466717804483083,0.045342197221511976,ebird19
0413ED30,0.026081742780053964,0.019886079744179073,0.015389227540721495,0.018886779254521834,0.014689717197961426,0.016288597981413012,0.0199860097931448,0.024982512241431,0.012191465973818327,0.013890276806235636,0.012391326071749776,0.011192165484161087,0.012091535924852603,0.013890276806235636,0.011192165484161087,0.02048566003797342,0.008094333966223643,0.006695313280703508,0.00049965024482862,0.000199860097931448,0.0006995103427600679,9.9930048965724e-05,0.0,0.0,0.0,0.0,0.0,0.000899370440691516,0.005596082742080543,0.01049265514140102,0.02528230238832817,0.017088038373138804,0.019686219646247626,0.0420705506145698,0.02848006395523134,0.05146397521734786,0.04896572399320476,0.04936544418906765,0.03417607674627761,0.026581393024882584,0.03467572699110623,0.024982512241431,0.02278405116418507,0.03277705606075747,0.03547516738283202,0.04067152992904967,0.03387628659938043,0.03517537723593485,0.032077545717997404,0.03077845508144299,0.013090836414509843,0.023683421604876586,ebird19
049D9AEA,0.0012330456226880395,0.0,0.00030826140567200987,0.0006165228113440197,0.0,0.0,0.0009247842170160296,0.0,0.0,0.00030826140567200987,0.0,0.0009247842170160296,0.0,0.0,0.0,0.0,0.0027743526510480886,0.05517879161528977,0.013563501849568433,0.0,0.00030826140567200987,0.0,0.0,0.0,0.0,0.0,0.0,0.00030826140567200987,0.0012330456226880395,0.00030826140567200987,0.02065351418002466,0.011713933415536375,0.004623921085080148,0.037916152897657214,0.00030826140567200987,0.0,0.014488286066584463,0.013563501849568433,0.0810727496917386,0.11436498150431566,0.11405672009864365,0.058569667077681874,0.004315659679408138,0.05579531442663378,0.04161528976572133,0.04932182490752158,0.08230579531442664,0.07737361282367447,0.06288532675709001,0.06843403205918619,0.0033908754623921083,0.0052404438964241675,ebird19
06B9BD24,0.05235521235521236,0.039227799227799225,0.026254826254826256,0.03644787644787645,0.02965250965250965,0.03135135135135135,0.0349034749034749,0.040154440154440155,0.01637065637065637,0.014980694980694981,0.01637065637065637,0.012509652509652509,0.013127413127413128,0.014517374517374518,0.010038610038610039,0.011119691119691119,0.015598455598455598,0.010656370656370656,0.009420849420849422,0.005250965250965251,0.003088803088803089,0.001698841698841699,0.0007722007722007722,0.0004633204633204633,0.0,0.0004633204633204633,0.001081081081081081,0.002007722007722008,0.0075675675675675675,0.00972972972972973,0.018223938223938224,0.02193050193050193,0.015752895752895752,0.027181467181467182,0.021158301158301158,0.040617760617760616,0.04108108108108108,0.027181467181467182,0.02640926640926641,0.02749034749034749,0.020694980694980696,0.027181467181467182,0.019305019305019305,0.014826254826254825,0.022239382239382238,0.01915057915057915,0.016525096525096525,0.024555984555984556,0.029034749034749036,0.036293436293436294,0.012509652509652509,0.023474903474903476,ebird19
